Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
Arctic_Cluster_475	5	3	1	0	2	3	4	0	5	1	6	0	0	1	1	3	0	0	1	1	13	8	6	1	4	9	1	4	10	9	5	3	3	1	4
Arctic_Cluster_147	5	6	1	2	7	3	4	0	9	0	12	1	0	4	3	0	4	1	2	3	4	7	1	2	5	9	1	1	6	3	2	1	4	2	2
Arctic_Cluster_389	5	3	0	1	2	4	1	0	9	0	4	1	0	3	3	0	0	1	1	3	8	6	8	3	7	5	1	4	5	7	4	6	5	4	3
Arctic_Cluster_1501	6	3	0	4	6	3	0	0	6	1	1	1	0	3	3	0	1	0	0	6	10	5	10	2	3	6	1	3	8	4	14	3	1	1	1
Arctic_Cluster_70	1	4	2	0	3	0	4	0	6	0	1	0	1	6	2	0	1	1	1	4	11	9	6	1	3	6	2	8	7	8	8	6	2	1	0
Arctic_Cluster_9	2	3	0	0	1	1	4	0	8	1	5	1	1	2	0	3	1	5	5	1	4	13	8	0	4	5	1	5	12	4	6	2	2	3	1
Arctic_Cluster_48	6	1	0	1	2	1	2	0	5	0	3	0	0	1	2	1	1	2	5	3	7	13	5	2	3	6	1	16	4	5	3	4	5	3	1
Arctic_Cluster_134	11	7	4	1	8	1	8	0	11	0	0	1	0	1	0	1	4	4	0	6	3	6	1	4	1	8	2	2	2	2	1	6	4	4	0
Arctic_Cluster_616	3	2	0	0	6	1	1	0	8	0	6	0	1	0	2	0	0	3	0	3	4	17	4	3	3	7	2	7	10	11	1	2	3	3	1
Arctic_Cluster_832	5	8	0	0	6	2	2	0	6	0	4	0	0	5	3	0	1	0	2	5	6	9	9	2	2	6	0	8	7	3	2	5	1	2	3
Arctic_Cluster_1500	5	1	0	1	4	2	4	0	9	0	3	4	1	1	2	1	1	3	1	1	13	7	5	3	3	4	0	0	7	2	5	7	5	6	3
Arctic_Cluster_996	5	3	0	1	1	4	1	0	10	2	2	0	0	2	1	2	1	0	2	4	2	5	11	1	5	3	1	13	5	1	5	8	7	2	2
Arctic_Cluster_1628	12	4	1	1	1	5	16	0	11	0	0	1	0	3	1	0	0	2	3	24	0	2	2	0	0	4	0	2	0	1	3	6	6	1	0
Arctic_Cluster_309	6	4	1	5	6	3	5	0	6	0	6	3	0	4	2	0	0	2	2	8	3	3	5	3	0	6	0	7	7	2	1	10	1	0	0
Arctic_Cluster_692	3	2	0	0	6	7	2	1	4	0	4	0	0	1	2	0	1	8	4	2	4	6	4	0	6	5	1	7	5	8	5	4	5	2	2
Arctic_Cluster_13	0	3	0	1	0	5	3	0	21	0	2	0	0	7	0	1	1	10	1	4	8	13	3	0	2	7	0	4	3	0	0	4	3	2	1
Arctic_Cluster_122	6	1	0	0	1	2	2	0	7	0	3	1	1	2	0	0	0	4	1	4	6	8	11	0	5	13	2	5	6	5	4	4	2	1	1
Arctic_Cluster_128	2	2	0	0	4	5	2	0	13	0	4	1	0	6	0	0	1	0	0	1	6	7	9	1	3	9	2	4	6	3	8	3	2	3	1
Arctic_Cluster_174	3	5	0	1	6	1	4	0	5	1	4	1	0	0	2	1	1	3	2	2	6	10	9	1	6	9	1	5	3	2	2	6	3	3	0
Arctic_Cluster_352	8	2	1	1	4	1	3	0	9	1	1	1	1	1	1	1	0	1	2	1	6	9	5	0	2	6	2	6	7	3	5	12	1	2	2
Arctic_Cluster_960	3	0	2	1	4	1	0	0	10	1	5	0	0	4	1	3	2	2	1	2	13	12	3	0	1	4	0	2	8	5	3	9	3	2	1
Arctic_Cluster_1247	6	2	1	1	4	3	2	0	10	1	7	2	0	3	0	1	0	1	0	1	8	7	9	0	6	1	1	6	2	4	4	7	3	4	1
Arctic_Cluster_1322	3	1	1	1	6	2	2	0	3	1	8	0	0	0	0	0	1	2	0	2	10	13	12	0	12	2	0	4	5	4	3	2	3	3	1
Arctic_Cluster_1414	7	0	0	9	4	0	5	0	19	2	7	0	0	1	0	1	1	1	2	7	0	19	1	3	2	3	1	0	0	1	4	2	1	4	0
Arctic_Cluster_630	6	2	0	1	9	1	0	0	5	1	4	1	0	4	0	1	2	0	0	2	11	8	10	2	3	8	2	6	1	2	7	2	2	1	2
Arctic_Cluster_981	8	0	1	0	4	3	2	0	4	0	4	0	0	4	1	0	0	4	1	4	6	11	8	1	4	4	2	3	4	2	6	9	4	1	1
Arctic_Cluster_1264	9	1	0	0	1	3	2	0	12	0	3	1	0	4	0	0	0	3	5	3	4	7	7	3	2	3	1	5	5	2	3	8	3	5	1
Arctic_Cluster_495	5	4	0	1	3	0	0	0	9	1	7	1	0	0	0	0	0	2	1	2	7	7	6	3	5	8	2	7	6	3	5	5	3	1	1
Arctic_Cluster_615	2	4	0	0	3	2	1	0	5	0	7	0	0	3	2	1	1	4	1	4	10	12	2	2	5	4	0	5	7	1	5	5	5	0	2
Arctic_Cluster_1440	3	0	0	2	9	0	0	0	3	0	9	0	0	1	5	0	0	2	0	4	15	7	6	1	3	3	1	6	2	11	4	1	2	1	3
Arctic_Cluster_956	4	1	0	1	2	0	1	0	8	0	2	2	0	3	1	1	0	0	1	3	23	16	5	1	0	3	0	4	9	7	1	1	0	1	2
Arctic_Cluster_1178	2	3	0	2	3	3	5	0	9	0	5	3	0	3	1	3	2	3	1	3	1	9	8	1	5	5	1	5	3	1	3	2	3	3	1
Arctic_Cluster_1229	0	2	0	0	1	2	1	0	7	0	6	1	1	2	2	2	2	1	2	0	7	7	11	4	5	3	0	4	8	5	6	4	5	0	1
Arctic_Cluster_588	3	1	0	0	8	2	0	1	6	1	2	0	0	2	3	0	0	3	1	5	5	6	7	2	2	7	1	2	7	4	3	3	9	2	3
Arctic_Cluster_393	1	1	0	1	5	1	2	0	1	0	4	0	0	2	2	0	1	2	1	7	14	9	5	1	3	4	0	4	4	9	6	3	3	3	1
Arctic_Cluster_708	2	1	0	6	4	1	0	0	0	0	9	0	0	2	5	0	0	1	2	1	27	8	5	0	1	3	1	3	6	5	2	1	1	1	2
Arctic_Cluster_1446	0	1	0	1	10	0	1	0	4	1	13	0	0	1	4	0	1	0	0	5	12	9	5	2	8	0	1	2	5	7	3	2	0	0	2
Arctic_Cluster_101	4	2	1	1	4	1	0	0	7	1	7	1	0	0	1	2	0	0	0	2	17	13	4	2	3	5	0	4	9	3	1	1	1	1	1
Arctic_Cluster_136	4	0	0	1	9	2	1	0	5	0	8	0	0	1	1	0	0	0	0	3	5	11	11	2	7	0	0	3	5	8	3	3	3	2	1
Arctic_Cluster_517	3	4	0	1	0	1	3	0	7	0	2	0	0	2	1	0	1	3	4	5	4	9	7	1	5	5	2	4	7	4	7	1	2	3	1
Arctic_Cluster_749	4	3	0	0	4	5	1	0	4	0	2	0	1	2	2	1	3	2	1	3	6	6	5	2	5	3	2	5	9	2	1	7	6	1	1
Arctic_Cluster_1273	2	0	0	1	7	1	1	0	0	0	14	0	0	1	4	0	1	0	0	0	18	6	4	0	8	4	2	0	8	8	3	2	1	2	1
Arctic_Cluster_1373	2	2	0	1	3	2	3	0	8	0	3	1	0	3	1	1	0	3	1	3	8	2	5	4	5	4	0	8	3	1	9	4	3	4	2
Arctic_Cluster_1031	5	0	0	3	5	1	1	0	7	1	6	1	0	2	3	1	3	0	3	3	6	11	4	0	3	2	1	4	3	6	5	5	2	1	0
Arctic_Cluster_650	1	1	1	1	6	4	2	0	10	0	5	0	0	3	2	2	0	1	3	3	8	5	5	0	3	7	1	5	7	2	3	2	2	1	1
Arctic_Cluster_29	7	1	0	0	4	1	2	0	7	0	3	0	0	3	1	0	1	2	3	1	3	12	2	1	5	9	0	6	8	3	6	1	1	2	1
Arctic_Cluster_181	3	3	1	1	2	4	3	0	13	0	2	1	0	2	1	0	1	3	1	5	2	3	4	2	3	3	0	8	1	8	6	4	4	2	0
Arctic_Cluster_507	8	1	0	0	1	2	4	0	11	1	1	0	1	3	0	0	1	2	4	7	0	6	2	1	4	10	1	15	2	0	2	2	2	2	0
